vk_id,friends_count,photo_count,likes_total,average_likes,groups_count,average_member,male_ratio,female_ratio,unknown_ratio,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,pe_0,pe_1,pe_2,pe_3,pagerank,degree,clustering,betweenness
139192641,0.9522184,0.98293513,0.8634812,0.27986348,0.9931741,0.027303753,0.7849829,0.24232082,0.90784985,0.7372014,0.6433447,0.7201365,0.80375427,0.35836178,-1.4247861,-0.8649843,0.5132612,0.4642395,-0.46100557,-0.43152544,1.0496496,-0.71153194
139995359,0.60580206,0.7303754,0.7372014,0.69283277,0.6040956,0.40614334,0.26962456,0.75767916,0.0,0.18771331,0.6433447,0.86177474,0.83617747,0.44197953,-1.1099759,-0.30580673,-0.5697762,0.7575233,0.14747342,0.21645874,0.8159532,-0.5754279
145308284,0.15358362,0.0,0.0,0.0,0.18259385,0.037542664,0.21160409,0.81569964,0.0,0.26962456,0.28498295,0.60580206,0.47269624,0.092150174,-1.2515624,-0.07495659,0.9771545,-5.1405287,-1.6792399,-1.6763371,2.1476119,-1.0042905
145586920,0.7389079,0.25255972,0.42832765,0.8327645,0.1109215,0.5665529,0.85324234,0.17406143,0.0,1.0,1.0,0.90614337,1.0,0.91638225,1.9115629,-1.1251487,1.1434358,0.17271599,-0.45093167,-0.4826821,0.14357673,-0.45830947
146378025,0.3327645,0.75767916,0.76450515,0.6894198,0.3890785,0.5392491,0.33105803,0.69624573,0.0,0.34300342,0.049488056,0.51365185,0.21843003,0.7013652,0.5696028,1.401264,2.2595263,0.8416959,-0.57195735,-0.6190998,-0.659505,-0.34919116
147971113,0.7013652,0.3139932,0.51194537,0.87713313,0.6587031,0.5870307,0.48122868,0.5460751,0.0,0.34300342,0.33959043,0.13139932,0.3651877,0.32593855,1.0589898,1.6356593,1.554618,0.266196,0.54385287,0.36992866,-1.3580742,1.7416034
149112480,0.40614334,0.87030715,0.7542662,0.50511944,0.29351535,0.68600684,0.42320818,0.6040956,0.0,0.0665529,0.22696246,0.38225257,0.6040956,0.28668943,0.74957424,1.3541414,-0.053990994,-0.796907,-1.1074238,-1.1477185,0.17484719,-0.69759375
148263265,0.8430034,0.88395905,0.9419795,0.82935154,0.5392491,0.5699659,0.3447099,0.6825939,0.0,0.38395905,0.7713311,0.7457338,0.3651877,0.25255972,0.32357797,-0.65084887,-0.25709692,0.4647949,1.2847148,1.3078005,-0.87950766,1.0443735
150620511,0.556314,0.5238908,0.6211604,0.7542662,0.72696245,0.9215017,0.12969284,0.90102386,0.0,0.88395905,1.0,0.86177474,0.023890786,0.72696245,-0.6009288,0.5972615,-1.2427577,0.860449,0.9990973,1.0179129,-0.47110304,0.49801782
153339741,0.029010238,0.0,0.0,0.0,0.43856657,0.8668942,0.0,1.0,0.0,0.5238908,0.71843004,0.60580206,0.34129694,0.6177474,-0.6932207,0.6397358,-0.41212752,0.3991028,0.4726008,0.48929417,-0.19774832,0.021935828
